LETRA;NOMBRE;OBJETO;SERVICIOS;UBICACIÓN;TEL;WEB;TAG;
A;Academia Libre de Derechos Humanos, A.C.;Divulgar el saber y el libre debate de las ideas sobre los Derechos Humanos como un pilar indiscutible en la lucha por la dignidad y la igualdad.;Divulgación y enseñanza de los derechos humanos a través de medios electrónicos.;Calle Gral. Carlos Salazar Pte. 745, Centro, 64000 Monterrey, N.L.;812927 0610;"aldh.edu.mx@gmail.com Página web: https://aldh.mx 
Tik Tok: https://www.tiktok.com/@docddhh 
YouTube: https://www.youtube.com/@ALDDHH 
Instagram: https://www.instagram.com/docddhh/ 
Twitch: https://www.twitch.tv/docddhh 
Facebook: https://www.facebook.com/ALDHMX ";Jóvenes/ Educación ;
A;"Acciona e Incluye, S.A.S de C.V. LSC: Lengua de Señas Mexicana, Plataforma Educativa
";Realizar actividades de investigación y desarrollo en ciencias sociales y humanidades, apoyar con consultorías en temas científicos y técnicos, así como brindar servicios de traducción e interpretación, para personas que requieran apoyo para comunicarse.;Interpretación simultánea de lenguas de señas, sistemas de comunicación, talleres de sensibilización ;Miguel Ángel 451 Colonia Misión Real/Apodaca;8110661698;"asocilsmnl@gmail.com; inclusionmonterrey@gmail.com";Discapacidad/LSM;
A;"ACODEMIS, A.C. Acción Colectiva por los Derechos de las Minorías Sexuales, A.C.
";Luchar contra las prácticas de discriminación laboral, educativas, políticas de seguridad, asistencia jurídica, de salud, entre otros, de las minorías sexuales. Promueven el trato equitativo hacia las personas de la diversidad sexual en materia de empleo, remuneración y de seguridad en el empleo, especialmente en el sector público. ;Realiza pruebas rápidas para detección de VIH, SÍFILIS y HEPATITIS C en sus centros de detección comunitarios.;"Washington 947 Ote. Informes al 83 45 11 04
Villagrán 637 Norte Informes al 23 17 49 49";8183450927  8183451104  8123174949 ;acodemis@gmail.com   http://www.acodemis.org/incidencia.html;VIH;
A;Asociación para el Desarrollo Humano, la Transformación e Infraestructura de México, A.C. ADH-TIM ;Asistencia social, jurídica y fomento de la economía popular.;Defensa de derechos humanos y capacitación para trabajadores.;Marco Craso 604 Cumbres 3er sector MTY;5632159796;dhumano.ac@gmail.com;Jóvenes/ Educación ;
A;Adopción y Acogimiento Familiar de México, A.C.;"La atención a requerimientos básicos de subsistencia en material de alimentación, vestido o vivienda.
Asistencia jurídica, el apoyo y la promoción, para tutela de los derechos de los menores, así como para la readaptación social de personas que han llevado a cabo conductas ilícitas.
Orientación social, educación o capacitación para el trabajo.
Apoyo en la defensa y promoción de los derechos humanos.";Entre nuestros servicios acompañamos y asesoramos a las familias e individuos que desean iniciar una adopción o están dispuestos a ofrecer sus familias para realizar acogimiento en la República Mexicana. Brindamos capacitación y acompañamiento  a quienes ya han adoptado o brindan acogimiento familiar,  con el fin de restituir el derecho   a vivir  en familia  a niños, niñas y adolescentes, y prevenir  que sean violentados o abandonados nuevamente. Para eso contamos con grupos de apoyo para padres por adopción y oferentes de acogimiento familiar,  cursos  y talleres  para el desarrollo de una parentalidad terapéutica.;Circuito Azorín #1629, Col. Jardín Español, Monterrey, N. L. C.P. 64820;"8183583096 8115025230
";abba.adopcionyacogimiento@gmail.com  Facebook: ABBA. Adopción y acogimiento familiar;Adopción, mujeres, familia;
A;Agradeciendo en Vida,  A.C.;Asociación dedicada a la prevención, tratamiento y rehabilitación de personas con problemas de adicciones, impulsando su reinserción familiar, social y laboral mediante programas de atención integral.;Tratamiento y rehabilitación de personas con problemas de adicciones;Martín de Zavala No. 395A Col. Centro Monterrey, N.L.;8133696893;agradeciendoenvida@gmail.com;Prevención de Adicciones ;
A;AIESEC México, A.C.;"Impulsar y fomentar los ámbitos científico y tecnológico, a través del intercambio de estudiantes y profesionistas para capacitarles como instrumentos efectivos que apliquen sus conocimientos y experiencia educativa o profesional en sistemas y técnicas económicas y comerciales, entré otros países y México para favorecer la vinculación entre la investigación científica y tecnológica.
";Realizar conferencias, publicaciones, entrenamientos en el sector privado, seminarios, visitas, intercambios multidisciplinarios, becas y demás que le correspondan según sus estatutos para promover la competitividad en el sector productivo y coadyuvar en el desarrollo de nuestra sociedad de forma sistémica a través de las actividades anteriores;Álvaro Obregón No. 124, Colonia Roma Norte, Alcaldía Cuauhtémoc, Ciudad de México, C.P. 06700.;81 2080 8855;presidente.mty@aiesec.org.mx;Jóvenes/ Educación ;
A;AIRA, Unidos contra el cáncer. Asociación de Psicooncología Monterrey APOM, A.C.;Asociación civil sin fines de lucro que brinda atención psicológica y acompañamiento integral a pacientes con cáncer y sus familias, especialmente a personas en situación de vulnerabilidad, complementando su labor con acciones de asistencia social, orientación, rehabilitación y apoyo para mejorar su calidad de vida.;"Atención Psico oncológica individual a pacientes con cáncer, familiares y sobrevivientes: Acompañamiento psicológico en formatos presencial o en línea, por medio de sesiones semanales con psicólogos especializados, durante el tiempo que el paciente lo requiera y en todas las etapas de la enfermedad, incluida la terminalidad. La terapia psicológica favorece la calidad de vida, el estado de bienestar emocional, favoreciendo un estado de salud integral y fomentando la adherencia al tratamiento. 
Conociendo y previniendo el Cáncer: Talleres y seminarios de psicoeducación para la prevención y promoción de la salud con el objetivo de fomentar un cambio progresivo en la conciencia sobre los tipos de cáncer, sus síntomas y tratamientos y favorecer una detección temprana, para el tratamiento oportuno, aumentando la tasa de sobrevivencia. Grupo de apoyo, “De la mano con Aira”: Intervención psicológica grupal en pacientes con cáncer durante su tratamiento médico, en formato presencial o en línea, con un cupo máximo de 20 personas, con sesiones grupales facilitadas por psicólogos especializados, de manera quincenal. Beneficiando la integración de los pacientes y fomentando un espacio seguro y terapéutico entre pares donde pueden contar con una red de apoyo que favorezca su salud emocional y bienestar general. 
";"Factores Mutuos, 410. Col. Leones, C.P. 64600. Monterrey, Nuevo León. 
";"8123406740 8113592945 

";"airaasociacion@gmail.com    Página Web: www.aira.org.mx Redes Sociales:  Facebook.com/airaasociacion e Instagram: aira_asociacion
";Cáncer/Salud Mental;
A;Alianza Anticáncer Infantil, A.B.P ;Brinda apoyo integral a niñas, niños y adolescentes con cáncer de escasos recursos mediante asistencia médica gratuita, acceso a medicamentos, apoyo para traslados y tratamientos oncológicos, así como orientación a sus familias. Además, promueve la prevención y concientización sobre el cáncer mediante actividades de difusión y capacitación, y facilita atención médica especializada y apoyo nutricional para mejorar la calidad de vida de las personas beneficiarias;Servicios de salud: Medicamentos, estudios y/o procedimientos médicos, atención psicológica, asesoría nutricional. Servicios de asistencia social: Albergue temporal, alimentos, transporte foráneo y transporte local.;Fabriles 1845 Col. Fabriles entre Emiliano Zapata y Luis G Urbina, Monterrey, Nuevo León, C.P. 64550.;81 8191 1070;"reciclaje@acancer.org  
http://www.acancer.org/
https://www.facebook.com/anticancerinfantil/";Niñez/Salud/Cáncer;
A;Altoparlante, A.C.;"La promoción de la participación organizada de la población en las acciones que mejoren sus propias condiciones de subsistencia en beneficio de la comunidad, o en la promoción de acciones en materia de seguridad ciudadana; Apoyo en la defensa y promoción de los derechos humanos, Prestación de servicios de apoyo a la creación y fortalecimiento de organizaciones que realicen actividades del objeto de fomento, en términos de la Ley Federal de Fomento a las Actividades Realizadas por Organizaciones de la Sociedad Civil";Profesionalizar a las OSC en materia legal (Derecho notarial, mercantil, fiscal.), Donaciones en especie de nuestro banco de materiales,  apoyo con nuestro voluntariado a causas sociales y Colaboración en el desarrollo e implementación proyectos sociales de impacto;Cuatro Ciénegas 2011, Mitras Centro, Monterrey, Nuevo León. ;" 8182504684


";legal@altoparlanteeee.mx / hola@altoparlanteeee.mx / rp@altoparlanteeee.mx ;Jóvenes/ Educación ;
